,user_name,user_type,user_msg,user_msg_count,forum_type
0,plantparentnico,New member,"Hello, so at my (he/him) last therapy session (the first therapy session with a new therapist - she/her) she said i might have ADHD. She said she started to have suspicions when i said ""i really love reading books, it has always been my passion and my escape from reality, but these days i just can't get myself to read, even tho i really want to, i just can't."" i also spoke to her about how it's difficult for me to do simple stuff like washing dishes, cleaning, doing homework or learning for exams. i just procrastinate. i know i have to do it but i just can't get up to start anything. i have to have a outside impulse, for example when my mum needs help with something. what she said is that im fighting my brain. i know i need to, i kinda even want to do it (cuz i like to have clean dishes or clothes in it's place) but my brain says no and since he's the one in control, i don't do anything. there might be more stuff but this stayed in my mind till now. i want to see other people's experience and opinions. i kinda want to ask my psychiatrist to help me get a diagnosis but i have some time till im meeting with them, so i need something. thank you for your answers!",2,ADHD_Forum
1,manicstreetpreacher,Well-known member,I had someone close to me suspect I had it when I was 30 years old. I wrote down all the symptoms I had when I looked up those for ADHD. Took these to my GP and got referred and got an official diagnosis of ADHD.,52,ADHD_Forum
2,plantparentnico,New member,"That's a great idea. Any tips on legit pages with those symptoms?
also what is GP? does that mean something like psychiatrist?
Thank you very much!",2,ADHD_Forum
3,manicstreetpreacher,Well-known member,"Hey. No problem. GP is your doctor as in general practitioner. I can't remember what website I used for symptoms but look at a few and they will be very similar I'm sure. Good luck and if you need anything, feel free to ask me 👍",52,ADHD_Forum
4,Ark227,New member,"Hello all, I am diagnosed with ADHD. I take generic Adderall but it doesn't help much. I have a intro post that is more in depth, but here's my ADHD focused issue:

When things are difficult, my mind wanders. I can't force myself to focus on difficult problems. If its a simple issue, one I know exactly how to solve, I'm fine. I just do it. But if its something difficult to figure out, my mind drags me away to think about something else more pleasant. I don't want to, but its like I don't have control. The Adderall can help, but it just as easily helps me laser focus on the distraction.

Does anyone have any experience dealing with this? Methods, medications, anything that can help me focus on the correct target?",2,ADHD_Forum
5,Angel R,Member,"Hi again! I posted about my RSD, and here I'd like to know if these other things sound like ADHD.
Don't worry, this post is A LOT shorter than my RSD one!
Obsessions/impulsivity - When I learn about a new hobby or topic, I'll spend most of my 8 hour work shift listening to podcasts or videos about the new Topic in my earbuds. I'll think about it all the time and learn everything I possibly can about it in a short amount of time. I'll keep a list in my head of the most important bullet points of how to correctly do this new thing, and I'll start dreaming of all the wonderful things I'm going to create.

I'll also figure out the basic supply items I need to get, and I'll start to drool over them on Amazon. Now, I still make sure my bills are paid, but as soon as I can afford the items I'll usually get them and start learning how to do whatever it is. I need to buy them NOW, or ASAP. I have learned some impulse control over purchasing these things, because money is really tight sometimes, but that was hard to learn. I'll get this irritatingly strong urge to buy the supplies so I can start my new hobby! UNTIL.... I suddenly drop my new hobby and lose all interest in it, and I move onto the next new thing, where the cycle starts all over again.
I just did this today with a bunch of art and craft supplies because I want to start a YouTube channel with my daughter. Will it ever take off? Who knows! lol. but at last we're learning some new skills and having fun together. Unfortunately, we spent most of our evening together testing out these new products - painting, using clay, attempting (poorly) to make Barbie dresses, and crocheting - instead of cleaning the house and getting ready for the school/work week. *nervous laughter* heh...

I've been like this for most of my life. Get super obsessed with a new idea and learn a bunch about it until I get bored and move on. Only in these last few years have I actually had the money to act on my impulses. I still get the bills paid, but I have no savings to speak of. I really should get the brakes on our car looked at... but.. but art supplies!!!!
Oh yeah, I do this with people, too. Get super excited about my new amazing best-besty friendy-friend forever and ever!!!

Until... I can't even make myself open their message and I end up ghosting them even though they did NOTHING wrong.

So what do you think? Sound like an ADHD thing? Thanks",5,ADHD_Forum
6,Angel R,Member,"Hi everyone! I just joined this forum. I have many reasons for suspecting that I have ADHD, and definitely have undiagnosed OCD. I was hoping for some advice and/or insight on the likelihood that I have ADHD. Of course I am already going to talk to a therapist about that, but that's a ways out and I'm here right now.

Like I said, I have a lot of reasons why I suspect it, but I'll start with the RSD thing...

I was watching videos on YouTube about ADHD, and that's when I learned about RSD, and I thought, ""oh my gosh, this is me all the way!"" Please forgive my long writing, but I have a lot to say and I feel compelled to be as thorough as possible. This is kind of funny and sad but I feel my RSD coming out a little bit because I'm scared you guys are going to think this post is too long, but I'm just going to go with it.

So... I recently figured out that I probably have Rejection Sensitive Dysphoria, especially at my job. I push myself to do as perfect a job as possible out of constant fear of what my managers and coworkers think of me. Every minute of my work day I'm constantly away that I'm being watched on camera, and I'm scared to break any of the rules. Obviously rule breaking isn't ever a good thing, but I'm a little past the reasonable line on this one, and I know it.

I do work around a very toxic person (let's call her Sarah) and this person is very impatient and critical of everyone around them. I realize that's a fault within them, not within myself, but being around this person for 3+ years has brought out a ton of my own insecurities that I didn't realize I had. Unfortunately this person is in a supervisory role, and I'm supposed to go through them with any work issues before talking to the actual manager. Sarah can be really nice sometimes, but we have completely different worldviews and upbringing, and being around her every day for 8 hours gives me a lot of anxiety. She's finally starting to figure out that who I am, and that I'm sincerely not ""BSing"" them when I ask dumb questions, or when I am just different than everyone else.
I start to panic if I'm even 5 minutes late, so I always show up early. I have perfect attendance because I don't call in even when I'm sick, because I'm more scared of missing work than taking care of my own personal needs or even my family's needs. I'm constantly afraid of ""getting in trouble."" Everyone thinks I'm weird because I don't like to goof off while being punched in. I like to punch out before getting all my winter gear on at my locker, so I'm not wasting the company's time. Nobody else does that. I also try to keep my breaks within the right time, and not go over. Sarah doesn't do that, and I think she thinks i'm a goody-two-shoes for trying to adhere to the rules so closely.
I'm extremely hard on myself when I mess up, and if Sarah or my boss tells me that I messed something up, my mood starts to go downhill and I can't control it, especially when there's an instance of a thing being done incorrectly, and I know that it wasn't me, but the implication is that I was responsible. When they say ""Hey, you did such and such..."" I can't rest until they know that I DIDN'T DO THAT. But I always get told, ""Hey, I don't care WHO did it, but it was done wrong."" and for some reason I can't handle the thought that they thought that I was being blamed even though I know I didn't do it. Because if I had done whatever it was, I would own up to it and apologize and take full responsibility. I also over-explain EVERYTHING (like this post? lol!!!!) and apparently, Sarah and my manager actually get super annoyed with me when I over-explain. I cannot comprehend this!!! I just feel this irresistible urge to make sure they know WHY a thing happened, and the steps that led up to it, so that they have full context. Actually I hate it when Sarah tells me, ""Manager asked me why such-and-such wasn't done"". That was my task, but I actually had good reasons for not getting it done yet. But Manager doesn't care about that, he just wants to know why it wasn't done yet, and it's Sarah's job to keep everyone on task and micromanage us. But it scares me and freaks me out because my brain starts telling me, ""Manager thinks you're doing a bad job. You ARE doing a bad job. Do better next time, loser. I don't care if it kills you, you have to do better, be faster, work harder. Manager probably wants to replace you. Manager is annoyed because he knows you cry at work. They can do so much better than you.""

When I forget to do something correctly, or when I mess something up, I should be able to take constructive criticism like a normal person, but it accumulates throughout the day and I get very fragile inside. And then it just takes one critical remark or a judgmental look from Sarah to make me start crying, and once the tears start, I can't stop them. She gets impatient with me for crying, and then gets snooty with me and just says, ""I'm never telling YOU anything again."" which just makes it worse.

I feel like a normal person would be able to brush it off and go about their day, but I can't seem to do it. Even writing this I want to start tearing up. I have gotten better throughout the past year at my job, and Sarah is finally understanding that I have some issues and that she should just ignore my tears and say whatever she needs to say, because I want nothing more than to be good at my job. One of my biggest fears in life is losing my job, or giving them a bad impression of me. But it's too late. I've already embarrassed myself more times than I can count by crying in front of my coworkers and manager. I can't control it when it starts. After awhile I can shut off the waterworks, but my mood will be down the rest of the whole day.

But my RSD isn't just at work. I recently got a shoutout from my favorite Youtuber. She selected me as one of 5 people to receive a free book, and I got so excited. She told me to message her on Instagram, but I didn't own an instagram account, so I had to create one. I messaged her 2 weeks ago, and she hasn't gotten back to me. I tried several times, and I even commented on Youtube that I didn't think my messages were getting through to her. At this point I don't even care about the book, I just want to stop feeling ignored and rejected by her. My brain knows that this is silly, because she's got hundreds of thousands of followers, and I'm sure she's not purposely ignoring me... but it just feels like she's ignoring me, and it's making me want to cry. I could go on about other examples of feeling rejection even when I'm sure the person has no clue that I'm perceiving things that way, but I don't want to bore you guys.

Thanks for tolerating me, and I'd REALLY appreciate some feedback and maybe some examples from you guys if you have RSD also.

<3",5,ADHD_Forum
7,Blue Monday,Well-known member,"Sorry for the long intro/background info here:

I have ADHD Inattentive Type. I've over 50 and when I was young, long before being diagnosed, my thoughts were not only random and often having no relation to each other whatsoever, I say that my brain jumped from thought to thought at ""light speed"". There was nothing I could do about it. My thoughts have remained largely random at my age but thankfully the speed of jumping from thought to thought has gradually slowed down as I've aged.

What do I mean by ""random thought""? I mean thoughts that are not linear, new thoughts that don't have any relation to the previous thoughts.

My example of what I consider to a linear non-random thoughts: Seeing a container of cherry ice cream in the store and having my very next thought be a memory of eating cherry ice cream as a child. That makes sense.

My example of what I consider to be random thoughts: Thinking about chopping onions while I'm in the kitchen chopping onions and my very next thought that just pops in (randomly) is about painting a fence outside when I was 12. Zero relation between my current thoughts/activities to the random thought or memory that pops into my head. Zero.

An analogy is like one of those lottery ping pong ball machines with ping pong balls flying around inside completely random. That's how my thoughts have often been most of my life.

In the past few weeks I've been taking CBD gummies which include a very low amount of THC. One thing I've noticed and it's absolutely not imagined: The randomness of my thoughts has diminished almost completely. Based on how it has been and what I've been used to, it's incredible actually in a very good way.

I'm no stranger to THC as I was a chronic marijuana user for about a decade, over twenty years ago, but haven't used marijuana in any form since that time. I've been hesitant based on my past abuse of the drug to use it but decided to try these gummies and treat them like medicine (ie measured dose at ""micro-dose"" level and not deviate from that regimen). The amount I'm currently taking is extremely low and amounts to only 5mg CBD/0.25mg of THC in the morning and then the same again in the afternoon. I did start by taking a single dose of 10mg CBD/0.5mg THC and even though that level of THC is not regarded as being enough to be psychoactive, it could have been my imagination but I thought I felt an extremely light level of psychoactivity which as much as my brain would welcome such a thing based on my past, that's not what I'm looking to accomplish.

The ""quieting"" of my brain on this new regimen, if the CBD/THC does nothing else, is enough for me to want to continue with it.

This post is in no way advocating or recommending that any one else try this at all. I'm only speaking for myself with my own personal experience.",266,ADHD_Forum
8,Ampleforth,Well-known member,I'm so happy you've found relief from a natural plant product. It also works for chronic pain and a host of other issues. Beats the hell out of opiates. There are mental health issues that can be helped with cannabis (others not so much) and as OP mentioned CBD isn't psychoactive. Luckily it still contains beneficial cannabinoids and terpenes. Like you I'm not advocating the use of cannabis unless prescribed by a qualified doctor. Luckily in Florida we have plenty of those.,"1,140",ADHD_Forum
9,Blue Monday,Well-known member,"I tried a different brand of CBD that was ""THC free"" which in the fine print means less than 0.3% THC per dose. I took that for about a month and it didn't seem to do much of anything. I read more about it and whether it's true or not, what I did read said that CBD in absence of THC can't bind effectively to the receptors in the brain but if CBD is taken along with trace amounts of THC that the THC bridges the gap or otherwise facilitates the binding of the CBD to the necessary receptors in the brain to be effective.

The product I've just recently started taking is legal in my state.",266,ADHD_Forum
